elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,l3_cache_misses
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::RandomWiggle,49152,1,1205383.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::RandomWiggle,49152,2,1203500.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::HeapSort,32768,0,683183.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::HeapSort,32768,1,679748.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::HeapSort,32768,2,669011.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::MonotoneConstantSize,327680,0,7900940.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::MonotoneConstantSize,327680,1,7596559.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::MonotoneConstantSize,327680,2,7651212.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::MonotoneWiggle,98304,0,2292768.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::MonotoneWiggle,98304,1,2288872.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::MonotoneWiggle,98304,2,2282041.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::RandomWiggle,98304,0,2424196.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::RandomWiggle,98304,1,2419860.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",32768,bench::workloads::RandomWiggle,98304,2,2412268.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::HeapSort,65536,0,1352746.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::HeapSort,65536,1,1354488.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::HeapSort,65536,2,1353808.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::MonotoneConstantSize,655360,0,15873607.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::MonotoneConstantSize,655360,1,15630440.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::MonotoneConstantSize,655360,2,15674716.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::MonotoneWiggle,196608,0,4646017.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::MonotoneWiggle,196608,1,4675080.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::MonotoneWiggle,196608,2,4621420.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::RandomWiggle,196608,0,4721932.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::RandomWiggle,196608,1,4824787.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",65536,bench::workloads::RandomWiggle,196608,2,4777335.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",131072,bench::workloads::HeapSort,131072,0,2790671.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",131072,bench::workloads::HeapSort,131072,1,2826595.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",131072,bench::workloads::HeapSort,131072,2,2794917.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",131072,bench::workloads::MonotoneConstantSize,1310720,0,32675598.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",131072,bench::workloads::MonotoneConstantSize,1310720,1,32008220.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",131072,bench::workloads::MonotoneConstantSize,1310720,2,31629577.0,0.0,0.0,0.0,0.0,0.0,0.0
