elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,hw_cache_references,l3_cache_misses
i64,bench::sequence_heap::SequenceHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,1,962535107.0,0.0,0.0,0.0,0.0,2985021.0,48323361.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,2,965030750.0,0.0,0.0,0.0,0.0,3120475.0,47122530.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,0,39331468458.0,0.0,0.0,0.0,0.0,144735899.0,1841653687.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,1,39321505392.0,0.0,0.0,0.0,0.0,142674931.0,1830101521.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,2,39324384266.0,0.0,0.0,0.0,0.0,144007903.0,1827689386.0,0.0
i64,bench::s3q::S3qHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,0,308668.0,0.0,0.0,0.0,0.0,230.0,2247.0,0.0
i64,bench::s3q::S3qHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,1,309890.0,0.0,0.0,0.0,0.0,634.0,5115.0,0.0
i64,bench::s3q::S3qHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,2,307096.0,0.0,0.0,0.0,0.0,33.0,2987.0,0.0
i64,bench::s3q::S3qHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,0,12656352.0,0.0,0.0,0.0,0.0,22532.0,764866.0,0.0
i64,bench::s3q::S3qHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,1,12154250.0,0.0,0.0,0.0,0.0,22590.0,762506.0,0.0
i64,bench::s3q::S3qHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,2,12109413.0,0.0,0.0,0.0,0.0,20283.0,760319.0,0.0
i64,bench::s3q::S3qHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,0,558089970.0,0.0,0.0,0.0,0.0,2572519.0,68449591.0,0.0
i64,bench::s3q::S3qHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,1,553333186.0,0.0,0.0,0.0,0.0,2451174.0,65494094.0,0.0
i64,bench::s3q::S3qHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,2,558636709.0,0.0,0.0,0.0,0.0,2577642.0,68665551.0,0.0
i64,bench::s3q::S3qHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,0,22875241593.0,0.0,0.0,0.0,0.0,118060745.0,3446095416.0,0.0
i64,bench::s3q::S3qHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,1,22745842705.0,0.0,0.0,0.0,0.0,116868177.0,3405101956.0,0.0
i64,bench::s3q::S3qHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,2,22837521560.0,0.0,0.0,0.0,0.0,116592726.0,3438871317.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,0,590945.0,0.0,0.0,0.0,0.0,1709.0,14215.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,1,603194.0,0.0,0.0,0.0,0.0,906.0,13209.0,0.0
