heap,graph,workload,vertices,edges,repeat,nanos
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_22_graph.gr,bench_graph::DijkstraWorkload,4194304,41312060,2,560474478.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_22_graph.gr,bench_graph::PrimWorkload,4194304,41312060,0,1613009879.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_22_graph.gr,bench_graph::PrimWorkload,4194304,41312060,1,1620781883.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_22_graph.gr,bench_graph::PrimWorkload,4194304,41312060,2,1612653499.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CTR_graph.gr,bench_graph::DijkstraWorkload,14081816,34292496,0,1550912612.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CTR_graph.gr,bench_graph::DijkstraWorkload,14081816,34292496,1,1548736843.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CTR_graph.gr,bench_graph::DijkstraWorkload,14081816,34292496,2,1547399354.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CTR_graph.gr,bench_graph::PrimWorkload,14081816,34292496,0,2181101235.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CTR_graph.gr,bench_graph::PrimWorkload,14081816,34292496,1,2186076999.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CTR_graph.gr,bench_graph::PrimWorkload,14081816,34292496,2,2187980325.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/GER_graph.gr,bench_graph::DijkstraWorkload,20690320,41791542,0,2282167435.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/GER_graph.gr,bench_graph::DijkstraWorkload,20690320,41791542,1,2278692057.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/GER_graph.gr,bench_graph::DijkstraWorkload,20690320,41791542,2,2277252615.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/GER_graph.gr,bench_graph::PrimWorkload,20690320,41791542,0,2584098386.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/GER_graph.gr,bench_graph::PrimWorkload,20690320,41791542,1,2615420845.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/GER_graph.gr,bench_graph::PrimWorkload,20690320,41791542,2,2620114201.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_24_graph.gr,bench_graph::DijkstraWorkload,16777216,159734888,0,2799795553.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_24_graph.gr,bench_graph::DijkstraWorkload,16777216,159734888,1,2774578210.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_24_graph.gr,bench_graph::DijkstraWorkload,16777216,159734888,2,2769097851.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_24_graph.gr,bench_graph::PrimWorkload,16777216,159734888,0,7307796205.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_24_graph.gr,bench_graph::PrimWorkload,16777216,159734888,1,7259096579.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_24_graph.gr,bench_graph::PrimWorkload,16777216,159734888,2,7259855831.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,0,109917190.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,1,109061112.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,2,109785180.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,0,327281645.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,1,331470546.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,2,319828786.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,0,179209977.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,1,179956009.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,2,179047100.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,0,195928685.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,1,196546332.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,2,197579799.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::DijkstraWorkload,23947347,58333344,0,2476094336.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::DijkstraWorkload,23947347,58333344,1,2473656150.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::DijkstraWorkload,23947347,58333344,2,2474056377.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::PrimWorkload,23947347,58333344,0,2975737475.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::PrimWorkload,23947347,58333344,1,2974316291.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::PrimWorkload,23947347,58333344,2,2990403311.0
