elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,hw_cache_references,l3_cache_misses
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",16384,bench::workloads::MonotoneWiggle,49152,2,8956992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",16384,bench::workloads::RandomWiggle,49152,0,7038631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",16384,bench::workloads::RandomWiggle,49152,1,7057600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",16384,bench::workloads::RandomWiggle,49152,2,7056749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::HeapSort,32768,0,6093768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::HeapSort,32768,1,6142521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::HeapSort,32768,2,6132787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::MonotoneConstantSize,327680,0,62640917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::MonotoneConstantSize,327680,1,62975985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::MonotoneConstantSize,327680,2,62942034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::MonotoneWiggle,98304,0,18324497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::MonotoneWiggle,98304,1,18350948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::MonotoneWiggle,98304,2,18384098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::RandomWiggle,98304,0,14317146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::RandomWiggle,98304,1,14257185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::RandomWiggle,98304,2,14319761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::HeapSort,65536,0,12561361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::HeapSort,65536,1,12591788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::HeapSort,65536,2,12568472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::MonotoneConstantSize,655360,0,128103166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::MonotoneConstantSize,655360,1,128241886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::MonotoneConstantSize,655360,2,128700772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::MonotoneWiggle,196608,0,37474908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::MonotoneWiggle,196608,1,37567479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::MonotoneWiggle,196608,2,37491273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::RandomWiggle,196608,0,28949731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::RandomWiggle,196608,1,28955059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",65536,bench::workloads::RandomWiggle,196608,2,28997964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::HeapSort,131072,0,25445273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::HeapSort,131072,1,25689775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::HeapSort,131072,2,25728593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::MonotoneConstantSize,1310720,0,260910460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::MonotoneConstantSize,1310720,1,262594595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::MonotoneConstantSize,1310720,2,263138491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::MonotoneWiggle,393216,0,76597897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
