elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,l3_cache_misses
i64,bench::original_quickheap::OriginalQuickHeapHeapI64,33554432,bench::workloads::RandomWiggle,0,0,0.0,1025510714.0,2950818817.0,0.0,0.0,0.0,0.0
i64,bench::reimplemented_quickheap::ReimplementedQuickHeap<i64>,33554432,bench::workloads::HeapSort,0,0,0.0,0.0,1073215262.0,0.0,0.0,0.0,0.0
i64,bench::reimplemented_quickheap::ReimplementedQuickHeap<i64>,33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,481658372.0,10888718817.0,0.0,0.0,0.0,0.0
i64,bench::reimplemented_quickheap::ReimplementedQuickHeap<i64>,33554432,bench::workloads::MonotoneWiggle,0,0,0.0,139496914.0,3063343255.0,0.0,0.0,0.0,0.0
i64,bench::reimplemented_quickheap::ReimplementedQuickHeap<i64>,33554432,bench::workloads::RandomWiggle,0,0,0.0,1902831678.0,1260324691.0,0.0,0.0,0.0,0.0
i64,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i64>>,33554432,bench::workloads::HeapSort,0,0,0.0,76547464.0,795335068.0,0.0,0.0,0.0,0.0
i64,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i64>>,33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,338253178.0,8580636328.0,0.0,0.0,0.0,0.0
i64,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i64>>,33554432,bench::workloads::MonotoneWiggle,0,0,0.0,169182758.0,2393314383.0,0.0,0.0,0.0,0.0
i64,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i64>>,33554432,bench::workloads::RandomWiggle,0,0,0.0,1430472744.0,2382697508.0,0.0,0.0,0.0,0.0
i64,"orx_priority_queue::dary::daryheap::DaryHeap<(), i64, 8>",33554432,bench::workloads::HeapSort,0,0,0.0,52084175.0,2146383292.0,0.0,0.0,0.0,0.0
i64,"orx_priority_queue::dary::daryheap::DaryHeap<(), i64, 8>",33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,337088839.0,23090571876.0,0.0,0.0,0.0,0.0
i64,"orx_priority_queue::dary::daryheap::DaryHeap<(), i64, 8>",33554432,bench::workloads::MonotoneWiggle,0,0,0.0,124374541.0,6455451198.0,0.0,0.0,0.0,0.0
i64,"orx_priority_queue::dary::daryheap::DaryHeap<(), i64, 8>",33554432,bench::workloads::RandomWiggle,0,0,0.0,593170425.0,6433146511.0,0.0,0.0,0.0,0.0
i64,weakheap::WeakHeap<core::cmp::Reverse<i64>>,33554432,bench::workloads::HeapSort,0,0,0.0,59477630.0,789861347.0,0.0,0.0,0.0,0.0
i64,weakheap::WeakHeap<core::cmp::Reverse<i64>>,33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,336994925.0,8388594109.0,0.0,0.0,0.0,0.0
i64,weakheap::WeakHeap<core::cmp::Reverse<i64>>,33554432,bench::workloads::MonotoneWiggle,0,0,0.0,142700968.0,2371824977.0,0.0,0.0,0.0,0.0
i64,weakheap::WeakHeap<core::cmp::Reverse<i64>>,33554432,bench::workloads::RandomWiggle,0,0,0.0,292875762.0,2371652120.0,0.0,0.0,0.0,0.0
